Twin Peaks; 1990-1991; Crime, Drama, Mystery; 8.8; Season 1-Episode 8, Season 2-Episode 22
The Sopranos; 1999-2007; Crime, Drama; 9.2; Season 1-Episode 13, Season 2-Episode 13, Season 3-Episode 13, Season 4-Episode 13, Season 5-Episode 13, Season 6-Episode 21
Game Of Thrones; 2011-; Action, Adventure, Drama; 9.5; Season 1-Episode 10, Season 2-Episode 10, Season 3-Episode 10, Season 4-Episode 10, Season 5-Episode 10, Season 6-Episode 10, Season 7-Episode 7
Breaking Bad; 2008-2013; Crime, Drama, Thriller; 9.5; Season 1-Episode 7, Season 2-Episode 13, Season 3-Episode 13, Season 4-Episode 13, Season 5-Episode 16
The Larry Sanders Show; 1992-1998; Comedy; 8.3; Season 1-Episode 13, Season 2-Episode 18, Season 3-Episode 17, Season 4-Episode 17, Season 5-Episode 13, Season 6-Episode 12
Curb Your Enthusiasm; 2000-; Comedy; 8.7; Season 1-Episode 10, Season 2-Episode 10, Season 3-Episode 10, Season 4-Episode 10, Season 5-Episode 10, Season 6-Episode 10, Season 7-Episode 10, Season 8-Episode 10, Season 9-Episode 10
Lost; 2004-2010; Adventure, Drama, Fantasy; 8.4; Season 1-Episode 25, Season 2-Episode 24, Season 3-Episode 23, Season 4-Episode 14, Season 5-Episode 17, Season 6-Episode 18
Louie; 2010-2015; Comedy, Drama; 8.6; Season 1-Episode 13, Season 2-Episode 13, Season 3-Episode 13, Season 4-Episode 14, Season 5-Episode 8
Cheers; 1982-1993; Comedy, Drama; 7.8; Season 1-Episode 22, Season 2-Episode 22, Season 3-Episode 25, Season 4-Episode 26, Season 5-Episode 26, Season 6-Episode 25, Season 7-Episode 22, Season 8-Episode 26, Season 9-Episode 27, Season 10-Episode 26, Season 11-Episode 28
Scener ur ett äktenskap; 1973; Drama; 8.5; Season 1-Episode 6
Buffy The Vampire Slayer; 1996-2003; Action, Drama, Fantasy; 8.2; Season 1-Episode 12, Season 2-Episode 22, Season 3-Episode 22, Season 4-Episode 22, Season 5-Episode 22, Season 6-Episode 22, Season 7-Episode 22
The Shield; 2002-2008; Crime, Drama, Thriller; 8.7; Season 1-Episode 13, Season 2-Episode 13, Season 3-Episode 15, Season 4-Episode 13, Season 5-Episode 11, Season 6-Episode 10, Season 7-Episode 13
Deadwood; 2004-2006; Crime, Drama, History; 8.7; Season 1-Episode 12, Season 2-Episode 12, Season 3-Episode 12
The Marvelous Mrs Maisel; 2017-; Comedy, Drama; 8.7; Season 1-Episode 8
Horace and Pete's; 2016; Comedy, Drama; 8.6; Season 1-Episode 10
Top Of The Lake; 2013-; Crime, Drama, Mystery; 7.5; Season 1-Episode 7, Season 2-Episode 6
The Simpsons; 1989-; Animation, Comedy; 8.7; Season 1-Episode 13, Season 2-Episode 22, Season 3-Episode 24, Season 4-Episode 22, Season 5-Episode 22, Season 6-Episode 25, Season 7-Episode 25, Season 8-Episode 25, Season 9-Episode 25, Season 10-Episode 23, Season 11-Episode 22, Season 12-Episode 21, Season 13-Episode 22, Season 14-Episode 22, Season 15-Episode 22, Season 16-Episode 21, Season 17-Episode 22, Season 18-Episode 22, Season 19-Episode 20, Season 20-Episode 21, Season 21-Episode 23, Season 22-Episode 22, Season 23-Episode 22, Season 24-Episode 22, Season 25-Episode 22, Season 26-Episode 22, Season 27-Episode 22, Season 28-Episode 22, Season 29-Episode 21
The Walking Dead; 2010-; Drama, Horror, Sci-fi; 8.4; Season 1-Episode 6, Season 2-Episode 13, Season 3-Episode 16, Season 4-Episode 16, Season 5-Episode 16, Season 6-Episode 16, Season 7-Episode 16, Season 8-Episode 16, Season 9-Episode 16
The Wire; 2001-2008; Crime, Drama, Thriller; 9.3; Season 1-Episode 13, Season 2-Episode 12, Season 3-Episode 12, Season 4-Episode 13, Season 5-Episode 10
